,playlist_name,playlist_uri,playlist_tracks_url,playlist_num_tracks,snapshot_id,playlist_img,track_name,track_uri,artist_name,album_name,album_img,track_added_at,track_popularity,track_preview_url,track_open_spotify_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode
1,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,The Price of Agony,1ZpKyES3kDQwqamuPMmUqu,Fit For A King,The Price of Agony,https://i.scdn.co/image/3ca0015b0c14603a59ea1d7aa716491566d7d03c,2018-09-13 22:03:00,60,https://p.scdn.co/mp3-preview/c45c1977001d7eb52dc5456a30c2d5b0f209591c?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/1ZpKyES3kDQwqamuPMmUqu,0.349,0.95,C#,-4.351,minor,0.102,3.58E-06,1.13E-05,0.0716,0.401,187.955,287999,4,C# minor
2,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,Dumptruck,3a0xTF3rUKUcUbzsz7A2oM,Wilson,Dumptruck,https://i.scdn.co/image/ad77095707f7f77dd6a0b5f74fa0a5a4a3e97024,2018-09-13 22:03:00,59,https://p.scdn.co/mp3-preview/a081c497723fff443b5f7c8d1aa7d37bf16e188c?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/3a0xTF3rUKUcUbzsz7A2oM,0.491,0.87,D,-4.327,major,0.0443,4.49E-05,0.000145,0.0607,0.21,103.072,217720,4,D major
3,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,Prey,7lMFAK8dv0QkWpIlZcWQlJ,Parkway Drive,Reverence,https://i.scdn.co/image/fa5d4d8df43a6b643a920e18acd8d9cda5482dd1,2018-09-13 22:03:00,65,https://p.scdn.co/mp3-preview/7c6b60d06f6cc16051577f63f5a907d89b6ab8b3?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/7lMFAK8dv0QkWpIlZcWQlJ,0.27,0.964,F#,-4.545,major,0.0866,3.28E-05,0.0247,0.525,0.325,99.731,255231,3,F# major
4,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,Sham Pain,0nqIqABZcujg05mkixJV60,Five Finger Death Punch,And Justice for None (Deluxe),https://i.scdn.co/image/464928fef3112cee262235d7020737ec765c8dbc,2018-09-13 22:03:00,65,https://p.scdn.co/mp3-preview/795470dd9a181e2aa86ad517856e532e67b84971?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/0nqIqABZcujg05mkixJV60,0.554,0.938,B,-4.901,minor,0.0532,0.000176,2.9E-06,0.147,0.4,96.5,209703,4,B minor
5,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,Here Comes The Boom,7foMdEhJevqESQw39FQcuv,Rise Of The Northstar,Here Comes The Boom,https://i.scdn.co/image/eb3c14f71d98aa5b9b5195b09097b656cf2a0d60,2018-09-13 22:03:00,54,https://p.scdn.co/mp3-preview/334e526e032962cf2cc1060cc16691a2c28a95ad?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/7foMdEhJevqESQw39FQcuv,0.59,0.969,G,-3.396,major,0.0817,0.00214,0.132,0.952,0.223,105.022,251560,4,G major
6,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,The American Nightmare,3ESMv5bi8bCx9qeYXAITFD,Ice Nine Kills,The American Nightmare,https://i.scdn.co/image/cdb94dddb275883640e723328e998fe8e5906a39,2018-09-13 22:03:00,64,NA,https://open.spotify.com/track/3ESMv5bi8bCx9qeYXAITFD,0.516,0.974,D,-4.296,major,0.105,7.51E-05,0.000866,0.405,0.401,120.043,252151,4,D major
7,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,My Own Grave,2QcHIZFd5Meeroa1HB1L90,As I Lay Dying,My Own Grave,https://i.scdn.co/image/e30f3b13bf29ce66bb242e26a2c4ff89343d136b,2018-09-13 22:03:00,64,https://p.scdn.co/mp3-preview/d3bd80c0396b5847b3cdabc5a5087358fc918d3a?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/2QcHIZFd5Meeroa1HB1L90,0.474,0.995,F,-4.316,minor,0.279,0.000109,0.00976,0.05,0.0394,125.025,253318,4,F minor
8,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,Chaos And Earthquakes,2imkodSyg1hOZwZuE2fJdU,Nonpoint,Chaos And Earthquakes,https://i.scdn.co/image/2fd594678a4c7cde8b0d38e771805b2b65ca6d49,2018-09-13 22:03:00,63,NA,https://open.spotify.com/track/2imkodSyg1hOZwZuE2fJdU,0.524,0.843,A#,-5.578,minor,0.0536,0.000417,0.125,0.375,0.212,85.993,225133,4,A# minor
9,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,Letting You Go,7rGN3oqzCpG2mLcwoPwDQm,Bullet For My Valentine,Gravity,https://i.scdn.co/image/0d3245084d69843da5de268251fb5aae5e1ab23c,2018-09-13 22:03:00,65,NA,https://open.spotify.com/track/7rGN3oqzCpG2mLcwoPwDQm,0.459,0.903,F,-4.649,minor,0.0673,0.00877,0,0.168,0.364,76.185,223655,4,F minor
10,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,Are You Ready,4Q5uB9p1o0DfjdVtkODhvL,Disturbed,Are You Ready,https://i.scdn.co/image/b8a975109fa3113836b8b357050923b35bc78f79,2018-09-13 22:03:00,70,https://p.scdn.co/mp3-preview/a527989826cb6d97c5e576ad80d822b9a9a1e51a?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/4Q5uB9p1o0DfjdVtkODhvL,0.528,0.976,D,-2.188,major,0.0803,0.000108,0,0.24,0.511,100.082,261705,4,D major
11,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,Dance Macabre,4pIKFpwflOdhYNIRmPTj3E,Ghost,Prequelle,https://i.scdn.co/image/853ec5b357eb4bb5a974430c07cb2c0543998026,2018-09-13 22:03:00,62,NA,https://open.spotify.com/track/4pIKFpwflOdhYNIRmPTj3E,0.619,0.696,G,-6.269,minor,0.0315,1.89E-05,0.00555,0.38,0.727,125.986,219720,4,G minor
12,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,Anger Left Behind,1RAT7pGtFKGsVe38SDKvKo,Atreyu,Anger Left Behind,https://i.scdn.co/image/4b79de99a03badf0995f5004080c036a435efc95,2018-09-13 22:03:00,56,NA,https://open.spotify.com/track/1RAT7pGtFKGsVe38SDKvKo,0.416,0.987,C,-3.333,major,0.21,0.0567,0.000145,0.0853,0.258,155.045,203547,4,C major
13,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,Disease,6xCHPen14yg3lJrg7mWf10,Beartooth,Disease / Bad Listener,https://i.scdn.co/image/f8888ad63d829dce411b2056cd94109de8a84aed,2018-09-13 22:03:00,65,https://p.scdn.co/mp3-preview/9425cff32792b9a8e03ba41ee5a2c704957f51cf?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/6xCHPen14yg3lJrg7mWf10,0.525,0.957,C,-3.742,major,0.0689,0.00202,3.25E-06,0.333,0.456,97.445,228373,4,C major
14,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,When Legends Rise,4HIYFlCh5aZq0jwvsn2DoK,Godsmack,When Legends Rise,https://i.scdn.co/image/060a4eea6c85541ded1322109102e9535d41acbc,2018-09-13 22:03:00,59,NA,https://open.spotify.com/track/4HIYFlCh5aZq0jwvsn2DoK,0.44,0.916,E,-4.222,minor,0.266,0.000236,1.94E-05,0.0897,0.401,124.099,172826,4,E minor
15,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,Leviathan,51KxT9z0sBFjJmooVJ4Oiz,Monuments,Leviathan,https://i.scdn.co/image/78f62d5afc67e57e0dd7945cb387d849dd03acbf,2018-09-13 22:03:00,51,https://p.scdn.co/mp3-preview/f80aa52fc8fe06d84a91935feb6545a4ac00112a?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/51KxT9z0sBFjJmooVJ4Oiz,0.576,0.965,A#,-3.689,minor,0.156,0.000209,0.0539,0.0939,0.493,106.009,274528,4,A# minor
16,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,No Masters,2MhppPQbaj2EqJUjIWZurg,Bad Wolves,Disobey,https://i.scdn.co/image/bc6ee723227e66783247a96206e790c931902ffb,2018-09-15 10:37:53,52,https://p.scdn.co/mp3-preview/abdffd87b51579e85fac2d1361e14efb3e5f2a92?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/2MhppPQbaj2EqJUjIWZurg,0.495,0.949,F,-4.797,minor,0.054,4.05E-05,0.00167,0.328,0.501,95.959,233095,4,F minor
17,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,Setting Sun,44e7zSLoW54t5TdQ1jRjO5,Jerry Cantrell,Setting Sun (from DC's Dark Nights: Metal Soundtrack),https://i.scdn.co/image/48700cc1bc58dba6a92e2f379bf47dc6842b00d3,2018-09-13 22:03:00,54,https://p.scdn.co/mp3-preview/377f71b9b616326efde2df3bc9ccb8157f42c56c?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/44e7zSLoW54t5TdQ1jRjO5,0.533,0.826,C#,-2.768,minor,0.0627,2.83E-05,0.000876,0.119,0.395,114.982,270118,4,C# minor
18,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,Black Flame,26NEy2ZH4PpkMar8l4kEws,Bury Tomorrow,Black Flame,https://i.scdn.co/image/3ab644012e680c835230d6135439109daeb8bb5a,2018-09-13 22:03:00,55,https://p.scdn.co/mp3-preview/deae8aa3beb8d8f7db58f50b04b2b665ec696881?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/26NEy2ZH4PpkMar8l4kEws,0.41,0.938,F,-5.04,minor,0.075,0.000361,0.00465,0.153,0.163,148.991,318640,4,F minor
19,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,Alive,6pz5cIbHc2Hygoad3qUeGM,Bleed From Within,Era,https://i.scdn.co/image/1ceb716e2dffd8021f77e07ddc203076b8914d1d,2018-09-13 22:03:00,54,https://p.scdn.co/mp3-preview/7470b0c7314ec4355381411cbfa906174cb2eece?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/6pz5cIbHc2Hygoad3qUeGM,0.305,0.973,E,-3.466,major,0.109,0.000141,5.51E-06,0.301,0.177,151.213,285493,4,E major
20,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,Blood,7EUiapvzdmXuh191SHrpFT,Breaking Benjamin,Blood,https://i.scdn.co/image/e814c83ce52685fd5ce63562942e2ded912aa7d4,2018-09-13 22:03:00,11,NA,https://open.spotify.com/track/7EUiapvzdmXuh191SHrpFT,0.475,0.971,E,-2.755,minor,0.0824,4.16E-05,3.66E-05,0.313,0.348,90.52,189120,4,E minor
21,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,Bound by Silence (feat. John Bush),1wUNhYmWgS7XG7pzLmnU5z,Metal Allegiance,Volume II: Power Drunk Majesty,https://i.scdn.co/image/6512e2ad37090118a55a40405b72fce8c3a27e30,2018-09-14 08:12:59,38,https://p.scdn.co/mp3-preview/32627e54ac532f0cd909fc801e8a12f25f3c2000?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/1wUNhYmWgS7XG7pzLmnU5z,0.363,0.971,G#,-3.778,major,0.059,2.6E-05,7.39E-05,0.0723,0.724,141.205,297500,4,G# major
22,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,20/20,3GQsfsRqUVGLq19TOd9PBU,Crown The Empire,20/20,https://i.scdn.co/image/fa01aaf519bb1d57b6be90b68764365d5acbde90,2018-09-13 22:03:00,58,https://p.scdn.co/mp3-preview/416929f4362393349858d56639abc194540c542b?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/3GQsfsRqUVGLq19TOd9PBU,0.319,0.925,G#,-4.239,major,0.0708,0.000227,0.00923,0.413,0.492,196.931,241218,4,G# major
23,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,Ritual,0UtVnEJbFufhHxBgYvMZyq,Soulfly,Ritual,https://i.scdn.co/image/2942c9a1ac162b3a6b69513f66c462060c311a82,2018-09-13 22:03:00,26,NA,https://open.spotify.com/track/0UtVnEJbFufhHxBgYvMZyq,0.269,0.993,C#,-2.844,minor,0.191,0.000263,0.00048,0.143,0.076,98.229,295120,4,C# minor
24,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,365,6NgdiN6wiPU7a3bgU85tKV,Amaranthe,365,https://i.scdn.co/image/aed77e0fda0498092361331752e5cb21a005e811,2018-09-13 22:03:00,58,NA,https://open.spotify.com/track/6NgdiN6wiPU7a3bgU85tKV,0.475,0.878,G,-6.905,major,0.0707,0.000227,7.24E-06,0.3,0.477,164.995,208304,4,G major
25,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,The Void,5znIVOv7RucpCHGkbonySq,Parkway Drive,Reverence,https://i.scdn.co/image/fa5d4d8df43a6b643a920e18acd8d9cda5482dd1,2018-09-13 22:03:00,63,https://p.scdn.co/mp3-preview/fe0672b4c376a521207933c96b456a2318cce0ab?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/5znIVOv7RucpCHGkbonySq,0.571,0.954,D,-3.399,minor,0.0464,0.000432,0.0014,0.058,0.53,123.051,233080,4,D minor
26,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,Dream Sequence,0PdMeFczpVSik00axjdcHp,Circles,Dream Sequence,https://i.scdn.co/image/9c2dc15cb30021e9ace0d3f075cfe95978dc1883,2018-09-13 22:03:00,40,https://p.scdn.co/mp3-preview/b50ab53b133cb05dcc3584ea9eff5fa158cb5bb7?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/0PdMeFczpVSik00axjdcHp,0.301,0.875,D#,-7.578,minor,0.0608,0.000322,0.000563,0.395,0.461,162.937,288629,4,D# minor
27,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,Breach,2rKXnPi5WYnUwqXqzlby91,Erra,Breach,https://i.scdn.co/image/cd62959d351ba433653a23da6c07488a57131a93,2018-09-13 22:03:00,52,https://p.scdn.co/mp3-preview/e935d960b569223d7a9b069ecbf8f5656b3cdf1f?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/2rKXnPi5WYnUwqXqzlby91,0.514,0.994,F#,-3.193,major,0.168,0.00168,0,0.181,0.0644,125.002,282760,4,F# major
28,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,Ivy (Doomsday),51VHAM1iIikiX2qTf4FCFl,The Amity Affliction,Ivy (Doomsday),https://i.scdn.co/image/38afd8de5bc31e67a41208635d0c307ecaf41ed6,2018-09-13 22:03:00,60,https://p.scdn.co/mp3-preview/03ca5bc9bef62f2907f7258354b406fab0a49ce4?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/51VHAM1iIikiX2qTf4FCFl,0.5,0.833,C#,-5.545,major,0.0404,0.00958,0,0.167,0.451,145.955,214493,4,C# major
29,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,God = Dog,48uhV6Kj6QVATU1dzUrNr8,Behemoth,God = Dog,https://i.scdn.co/image/e8f5f7f577a4d982d6d75c7e26309a73fa6f0156,2018-09-13 22:03:00,47,https://p.scdn.co/mp3-preview/1eae471c26840a86e010bb2c79f58148f1ff14f6?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/48uhV6Kj6QVATU1dzUrNr8,0.384,0.984,F#,-5.455,major,0.172,2.73E-05,0.0998,0.0418,0.0739,130.153,238905,4,F# major
30,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,Calm Before the Storm,6WortO2DtGmzG1QCAOZcsW,Light The Torch,Revival,https://i.scdn.co/image/b8514280ba0da9ee654e0b7395df9ff3553ad6ec,2018-09-13 22:03:00,55,https://p.scdn.co/mp3-preview/27be1c00b0565350c6299461b385ad6ec2510cbd?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/6WortO2DtGmzG1QCAOZcsW,0.377,0.975,D,-4.31,minor,0.171,1.34E-05,0.00344,0.268,0.311,163.168,235013,4,D minor
31,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,The Ritual,2u2MEFiKxBrFh1bct2pvWu,Primal Fear,The Ritual,https://i.scdn.co/image/2797feb9e473204cadb4411c0b02484572d04784,2018-09-13 22:03:00,49,https://p.scdn.co/mp3-preview/7e6cc4303b6a07bf0338ab778354d9c24ddded97?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/2u2MEFiKxBrFh1bct2pvWu,0.414,0.965,G,-4.864,major,0.0841,4.86E-06,5.98E-06,0.122,0.464,171.986,245320,4,G major
32,Kickass Metal,37i9dQZF1DWTcqUzwhNmKv,https://api.spotify.com/v1/playlists/37i9dQZF1DWTcqUzwhNmKv/tracks?offset=0&limit=100,56,MTUzNzI3NDkyMiwwMDAwMDBhMzAwMDAwMTY1ZWNiOWM3MTQwMDAwMDE2NWQyNDdhYjk0,https://i.scdn.co/image/536c60843699e8c7e0485118dc14dbb614ddc403,Vultures,6Tj3kqZsJvmaWOR65M60M7,Northlane,Vultures,https://i.scdn.co/image/791cb12f9e9072e0afa6ed46eb2367a0e3ac0447,2018-09-13 22:03:00,53,https://p.scdn.co/mp3-preview/6f9ef3d918b0aca226f6dc0736e89091bbb71130?cid=4779f4871cbc4c8fa6901a12c5b203ac,https://open.spotify.com/track/6Tj3kqZsJvmaWOR65M60M7,0.479,0.974,A,-6.645,major,0.144,3.01E-05,0.0342,0.307,0.239,125.93,227733,4,A major
